,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3579,CHEMBL323288,7200.0,nM,CCOc1cc(-c2ccccc2)nc2c1ccc(=O)n2CC,5.142667503568731,294.136827816,4,0,3.4821000000000017,True
3580,CHEMBL400189,7220.0,nM,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)ncnc21,5.141462802430361,349.1750042160001,9,4,0.18239999999999834,True
3582,CHEMBL3410322,7300.0,nM,CCOC(=O)c1nc(NC(=O)Cc2ccccc2)nc2nn(C)cc12,5.136677139879544,339.1331394040001,7,1,1.7211999999999998,True
3583,CHEMBL3679377,7330.0,nM,OC[C@H]1OC(n2cnc3c(NC4CCC[C@@H]4OCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,5.134896025358872,459.191797152,10,4,1.1266999999999998,True
3584,CHEMBL378367,7350.0,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4(N)CCCCC4)nc32)[C@H](O)[C@@H]1O,5.133712660915805,457.24375247200004,10,5,0.02650000000000119,True
3585,CHEMBL1278102,7365.0,nM,Cc1nn(Cc2ccccc2)c(=O)c2ncn3nc(-c4ccsc4)cc3c12,5.13282724882135,373.09973110000004,7,0,3.5244200000000028,True
3586,CHEMBL4280129,7410.0,nM,Nc1ncc(C(=O)c2sc(Nc3ccccc3)nc2-c2ccccc2)n1-c1ccc(F)cc1,5.130181792020672,455.121609416,7,2,5.691700000000003,True
3587,CHEMBL2113388,7440.0,nM,C[C@H](Cc1ccccc1)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@]1(C)O,5.128427064454121,399.19065427999993,9,4,0.8709999999999998,True
3588,CHEMBL3818884,7480.0,nM,O=c1oc2c(O)cccc2cc1-c1cccs1,5.126098402135539,244.019415116,4,1,3.227100000000001,True
3589,CHEMBL2180922,7490.0,nM,CCCCCN(CCCCC)c1nc2nn(C)cc2c2nc(-c3ccco3)nn12,5.125518182300533,395.24335854800006,8,0,4.457800000000003,True
3590,CHEMBL3125712,7490.0,nM,CCCCC#Cc1nc(NC)c2ncn([C@H]3[C@H](O)[C@H](O)[C@@H]4C[C@@H]43)c2n1,5.125518182300533,341.18517497600004,7,3,1.3222999999999998,True
3591,CHEMBL3410313,7500.0,nM,CCOC(=O)c1nc(NC(=O)c2ccc(C(F)(F)F)cc2)nc2nn(CCc3ccccc3)cc12,5.1249387366083,483.1518241600001,7,1,4.5168000000000035,True
3592,CHEMBL321330,7500.0,nM,Cc1cc(O)c2ccc(N)nc2n1,5.1249387366083,175.074561908,4,2,1.2260199999999997,True
3593,CHEMBL224083,7503.0,nM,CC(C)OC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1NC1CC1,5.124765053549835,398.15095365600007,6,1,4.550900000000003,True
3594,CHEMBL2012693,7510.0,nM,COc1cc(F)c(F)cc1CNc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21,5.124360062995832,437.106623556,8,3,2.291199999999999,True
3595,CHEMBL3890609,7510.0,nM,OCc1cc(F)c(F)cc1CNc1nc(Cl)nc2c1ncn2[C@@]12C[C@H](O)[C@H](O)[C@@H]1C2,5.124360062995832,437.106623556,8,4,1.7029999999999994,True
3596,CHEMBL225026,7574.0,nM,COC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1NCc1ccccc1,5.120674699215193,420.13530359200007,6,1,4.810100000000004,True
3597,CHEMBL3314918,7660.0,nM,CC(C)Nc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,5.115771230367396,287.1018392760001,7,2,1.9027999999999998,True
3598,CHEMBL225341,7671.0,nM,CCCNc1c(C(=O)OC)cnc2c1cnn2CC(Cl)c1ccccc1,5.115148017254002,372.135303592,6,1,4.0199000000000025,True
3599,CHEMBL1927441,7680.0,nM,Nc1nc(N2CCN(C(=O)c3cccc4ccccc34)CC2)nc2nc(-c3ccco3)nn12,5.114638779968488,440.1709218800001,9,1,2.4771,True
3600,CHEMBL2180908,7690.0,nM,CN1CCN(c2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,5.114073660198569,338.160357196,9,0,1.0227999999999997,True
3601,CHEMBL2113046,7730.0,nM,c1ccc(Nc2nc(NC3CC4CCC3C4)c3nc[nH]c3n2)cc1,5.111820506081675,320.17494464,5,3,3.697000000000002,True
3602,CHEMBL36160,7750.0,nM,CCNc1nc(NC(=O)CC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.110698297493689,434.2277680599999,10,5,0.7784999999999991,True
3603,CHEMBL391031,7800.0,nM,OC[C@H]1O[C@@H](n2cnc3c(NC4CC5CCC4N5)ncnc32)[C@H](O)[C@@H]1O,5.107905397309519,362.170253184,10,5,-1.257399999999998,True
3604,CHEMBL449628,7800.0,nM,CCCCn1cnc2c(N)ncnc21,5.107905397309519,191.11709541599998,5,1,1.2086000000000001,True
3605,CHEMBL385856,7820.0,nM,CCCn1c(=O)c2nc([C@]34CC[C@](C(=O)N5CCC(C(=O)O)CC5)(CC3)CC4)[nH]c2n(CCC)c1=O,5.106793246940152,499.279469284,7,2,2.6215,True
3606,CHEMBL386777,7880.0,nM,CCCn1c(=O)c2nc([C@]34CC[C@](C(=O)NCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O,5.103473782510445,445.232519092,7,3,1.4990999999999997,True
