,molecule_chembl_id,Ki,units,smiles,pKi
123,CHEMBL392475,0.8,nM,CC(=O)COc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.096910013008056
124,CHEMBL3913413,0.82,nM,Nc1nc(NCc2cccc(F)c2)nc2sc(-c3ccco3)nc12,9.086186147616283
125,CHEMBL520229,0.83,nM,CC(=O)Nc1cc(-c2cccc(N3CCOCC3)n2)nc(-n2nc(C)cc2C)n1,9.080921907623926
126,CHEMBL473431,0.9,nM,CCN(CCN1CCN(c2ccc(F)cc2F)CC1)c1cc2nc(-c3ccco3)nn2c(N)n1,9.045757490560675
127,CHEMBL4205030,0.9,nM,COCCOc1cc(F)c(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1F,9.045757490560675
128,CHEMBL398272,0.9,nM,CN1CCN(CC(=O)Nc2cc(-c3nccs3)nc(-c3ccco3)n2)CC1,9.045757490560675
129,CHEMBL429850,0.9,nM,COc1ccc(OCC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)c(CN(C)C)c1,9.045757490560675
130,CHEMBL519271,1.0,nM,COCCN(CCc1ccc(F)cc1)c1cc2nc(-c3ccco3)nn2c(N)n1,9.0
131,CHEMBL240212,1.0,nM,Nc1nc2c(cnn2CCN2CCN(c3ccc(F)cc3)CC2)c2nc(-c3ccco3)nn12,9.0
132,CHEMBL409915,1.0,nM,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3cccs3)c2n1,9.0
133,CHEMBL486950,1.0,nM,COc1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1,9.0
134,CHEMBL363660,1.0,nM,CN(CCN1CCN(c2ccc(F)cc2F)CC1)c1cc2nc(-c3ccco3)nn2c(N)n1,9.0
135,CHEMBL2096798,1.0,nM,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](C)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,9.0
136,CHEMBL2311150,1.0,nM,CCCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2[11CH3])n(CCC)c1=O,9.0
137,CHEMBL429144,1.0,nM,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccc(F)cc3)c2n1,9.0
138,CHEMBL4632760,1.0,nM,CC1=C(C(=O)OC(C)C)C(c2ncco2)n2c(nc3ccccc32)N1,9.0
139,CHEMBL264432,1.0,nM,Cc1ccc(CNC(=O)n2cnc3c(-c4ccco4)nc(N)nc32)cc1,9.0
140,CHEMBL3694785,1.0,nM,Nc1nc(-c2nccs2)nc(-c2nccs2)c1Br,9.0
141,CHEMBL256548,1.0,nM,Cc1ccc(OCC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)c(CN(C)C)c1,9.0
142,CHEMBL472460,1.0,nM,CC(=O)Nc1cc(-c2cc(F)cc(OC3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,9.0
143,CHEMBL4213177,1.0,nM,COc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.0
144,CHEMBL259049,1.0,nM,Cc1cccc(CNC(=O)n2cnc3c(-c4ccco4)nc(N)nc32)c1,9.0
145,CHEMBL4217248,1.0,nM,Cn1c(=O)n(CCN2CCN(c3ccc(F)cc3F)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,9.0
146,CHEMBL257757,1.0,nM,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(Cl)c3)c2n1,9.0
147,CHEMBL3911977,1.0,nM,CC(C)OCc1cccc(CNC(=O)c2nc(N)nc3c(F)cccc23)n1,9.0
148,CHEMBL256547,1.0,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3ccccc3CN(C)C)nc(-c3ccc(C)o3)n2)n1,9.0
149,CHEMBL373026,1.0,nM,Nc1nc(C(=O)NCCc2ccc(O)cc2)cn2nc(-c3ccco3)nc12,9.0
150,CHEMBL511440,1.0,nM,CC(=O)Nc1cc(-c2cc(F)cc(O[C@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,9.0
151,CHEMBL518364,1.0,nM,CCc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,9.0
152,CHEMBL506250,1.0,nM,N#Cc1c(-c2ccco2)cc(-c2ccco2)nc1N,9.0
153,CHEMBL594363,1.0,nM,Cc1ccc(-c2cc(C(=O)NCc3ncc[nH]3)nc(N)n2)o1,9.0
154,CHEMBL261203,1.0,nM,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,9.0
155,CHEMBL260146,1.0,nM,Nc1nc(-c2ccco2)c2cnn(C(=O)NCc3ccccc3)c2n1,9.0
156,CHEMBL270654,1.0,nM,Cc1cc(C)n(-c2cc(NC(=O)Cc3ccc(S(C)(=O)=O)cc3)nc(-c3ccccn3)n2)n1,9.0
157,CHEMBL411034,1.0,nM,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3Cl)c2n1,9.0
158,CHEMBL402071,1.0,nM,COc1ccc(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccccn3)n2)cc1,9.0
159,CHEMBL256382,1.0,nM,COc1ccc(CC(=O)Nc2cc(-c3nccs3)nc(-c3ccccn3)n2)cc1,9.0
160,CHEMBL472026,1.0,nM,CC(=O)Nc1cc(-c2cccc(OC3CCCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,9.0
161,CHEMBL403525,1.0,nM,COc1cc(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccccn3)n2)cc(OC)c1,9.0
162,CHEMBL270655,1.0,nM,CCOc1ccc(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccccn3)n2)cc1OC,9.0
163,CHEMBL22241,1.0,nM,Nc1nc2c(cnn2CCCc2ccc([N+](=O)[O-])cc2)c2nc(-c3ccco3)nn12,9.0
164,CHEMBL3765818,1.1,nM,Nc1nc(C(=O)NCc2cccc3cccnc23)c2ccccc2n1,8.958607314841775
165,CHEMBL3100161,1.1,nM,Cc1cc(C)n(-c2nc(Nc3cnccn3)cc(N3CCc4ccccc4C3)n2)n1,8.958607314841775
166,CHEMBL468256,1.1,nM,Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]ccc4c3)c2n1,8.958607314841775
167,CHEMBL239809,1.1,nM,Nc1nc2c(cnn2CCN2CCN(c3c(F)cc(F)cc3F)CC2)c2nc(-c3ccco3)nn12,8.958607314841775
168,CHEMBL240624,1.1,nM,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,8.958607314841775
169,CHEMBL359463,1.1,nM,CC(O)(C#Cc1cn2nc(-c3ccco3)nc2c(N)n1)Cc1ccncc1,8.958607314841775
170,CHEMBL278812,1.1,nM,Nc1nc2c(cnn2CCCc2ccc(N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12,8.958607314841775
171,CHEMBL1090575,1.1,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1ccccc1,8.958607314841775
172,CHEMBL3752514,1.11,nM,Nc1nc(NCc2ccccc2)nc2nc(-c3ccco3)nn12,8.954677021213342
173,CHEMBL256755,1.2,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3ccccc3CCN3CCOCC3)nc(-c3ccc(C)o3)n2)n1,8.920818753952375
174,CHEMBL3969868,1.2,nM,Nc1nc2cccc(Cl)c2c2nc(-c3ccco3)nn12,8.920818753952375
175,CHEMBL281129,1.2,nM,CSc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1C,8.920818753952375
176,CHEMBL4212810,1.2,nM,Cn1c(=O)n(CCN2CCN(c3nc(C(F)(F)F)cs3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,8.920818753952375
177,CHEMBL1672619,1.2,nM,Cc1ccc(-c2nc(NC(=O)C3CC3)cnc2-c2ccncc2)o1,8.920818753952375
178,CHEMBL17121,1.2,nM,Nc1nc2c(cnn2CCCc2ccccc2)c2nc(-c3ccco3)nn12,8.920818753952375
